Key,Values
AGTI,"2021-05-18, 2022-05-14, 2022-11-13"
PEN,"2016-05-10, 2016-08-10, 2016-11-04, 2017-03-01, 2017-05-10, 2017-08-11, 2017-11-11, 2018-02-28, 2018-05-12, 2018-08-08, 2018-11-06, 2019-02-27, 2019-05-11, 2019-08-07, 2019-11-09, 2020-02-26, 2020-05-10, 2021-02-23, 2021-05-04, 2021-08-09, 2021-11-03, 2022-02-22, 2022-05-03"
RDNT,"2009-11-09, 2013-03-12, 2013-05-10, 2013-08-09, 2013-11-11, 2014-03-04, 2014-05-09, 2014-08-08, 2014-11-06, 2015-03-16, 2015-05-11, 2015-08-10, 2015-11-09, 2016-03-14, 2016-05-10, 2016-08-09, 2016-11-09, 2017-03-14, 2017-05-10, 2017-08-08, 2017-11-09, 2018-03-08, 2018-05-09, 2018-08-09, 2018-11-09, 2019-03-14, 2019-05-10, 2019-08-10, 2019-11-12, 2020-03-12, 2020-05-11, 2021-03-08, 2021-11-08, 2022-03-01, 2022-08-12"
SILK,"2019-05-13, 2019-07-30, 2019-10-29, 2020-02-27, 2020-05-03, 2021-03-01, 2021-05-09, 2021-11-09, 2022-07-26"
ATRC,"2008-02-19, 2009-03-03, 2009-05-05, 2009-08-04, 2009-11-04, 2010-02-18, 2010-05-11, 2010-08-04, 2010-11-02, 2011-02-16, 2011-05-04, 2011-08-02, 2011-11-01, 2012-02-28, 2012-05-03, 2012-08-03, 2012-11-02, 2013-03-01, 2013-05-03, 2013-08-01, 2013-10-29, 2014-02-28, 2014-04-25, 2014-07-25, 2014-10-31, 2015-02-24, 2015-04-29, 2015-07-29, 2015-10-28, 2016-02-24, 2016-04-29, 2016-08-05, 2016-10-28, 2017-03-01, 2017-05-05, 2017-07-30, 2017-11-04, 2018-02-27, 2018-04-29, 2018-08-02, 2018-11-03, 2019-03-02, 2019-04-26, 2019-07-31, 2019-11-03, 2020-02-19, 2020-04-30, 2021-02-23, 2021-04-27, 2021-08-07, 2021-11-03, 2022-02-15, 2022-05-03, 2022-08-02, 2022-11-01"
CSTL,"2019-09-03, 2019-11-12, 2020-03-11, 2020-05-13, 2021-03-08, 2021-05-10, 2021-11-08, 2022-02-28, 2022-05-09, 2022-11-02"
LMAT,"2008-03-05, 2009-03-04, 2009-04-29, 2009-07-30, 2009-10-29, 2010-03-05, 2010-05-01, 2010-07-29, 2010-10-29, 2011-03-01, 2011-04-29, 2011-07-29, 2011-10-28, 2012-02-28, 2012-05-03, 2012-08-01, 2012-10-30, 2013-02-27, 2013-05-01, 2013-10-30, 2014-02-26, 2014-07-30, 2014-10-29, 2015-02-26, 2015-04-29, 2015-07-29, 2015-10-28, 2016-02-25, 2016-05-03, 2016-07-28, 2016-10-27, 2017-02-22, 2017-04-27, 2017-07-28, 2017-10-26, 2018-02-22, 2018-07-27, 2019-02-20, 2019-05-04, 2019-07-25, 2019-10-24, 2020-02-07, 2020-05-02, 2021-02-27, 2021-05-01, 2021-10-28, 2022-02-24, 2022-07-30, 2022-10-27"
PGNY,"2019-12-05, 2020-03-06, 2020-05-13, 2021-02-24, 2021-05-09, 2021-08-07, 2021-11-04, 2022-02-28, 2022-05-05, 2022-08-06, 2022-11-03"
LNTH,"2014-11-13, 2015-03-05, 2015-05-06, 2015-08-05, 2015-11-05, 2016-02-23, 2016-05-03, 2016-08-06, 2016-11-02, 2017-02-22, 2017-05-03, 2017-08-02, 2017-11-04, 2018-02-27, 2018-05-03, 2018-08-02, 2018-10-31, 2019-02-20, 2019-04-30, 2019-07-26, 2019-11-01, 2020-02-25, 2020-07-31, 2021-02-27, 2021-05-08, 2022-08-06"
PINC,"2014-02-15, 2014-05-13, 2014-08-27, 2014-11-11, 2015-02-10, 2015-05-12, 2015-08-25, 2015-11-10, 2016-02-09, 2016-05-10, 2016-08-23, 2016-11-08, 2017-02-07, 2017-05-09, 2017-08-22, 2017-11-07, 2018-02-06, 2018-05-08, 2018-08-21, 2018-11-06, 2019-02-05, 2019-05-12, 2019-08-20, 2019-11-05, 2020-02-04, 2020-08-25"
HQY,"2014-12-10, 2015-03-25, 2015-06-09, 2015-09-09, 2015-12-08, 2016-03-23, 2016-06-08, 2016-09-07, 2016-12-07, 2017-03-22, 2017-06-07, 2017-09-06, 2017-12-06, 2018-03-20, 2018-06-05, 2018-09-05, 2018-12-05, 2019-03-19, 2019-06-04, 2019-09-03, 2019-12-03, 2020-03-16, 2020-06-02, 2020-09-08, 2020-12-07, 2021-03-15, 2021-06-07, 2021-09-08, 2021-12-06, 2022-03-22, 2022-06-06, 2022-09-06"
STAA,"2008-03-07, 2012-08-02, 2012-11-01, 2013-02-28, 2013-05-02, 2013-08-01, 2013-10-31, 2014-02-27, 2014-04-29, 2014-08-01, 2014-10-31, 2015-02-25, 2015-04-29, 2015-07-29, 2015-10-29, 2016-03-03, 2016-05-12, 2016-08-04, 2016-11-03, 2017-03-03, 2017-05-04, 2017-08-02, 2017-11-09, 2018-03-01, 2018-05-03, 2018-08-02, 2018-11-01, 2019-02-22, 2019-05-05, 2019-08-01, 2019-10-31, 2020-02-27, 2020-05-10, 2021-02-24, 2021-05-05, 2021-08-04, 2021-11-03, 2022-02-23, 2022-05-04, 2022-08-10, 2022-11-02"
MMSI,"2010-11-05, 2013-02-22, 2013-04-26, 2013-08-01, 2013-10-24, 2014-02-25, 2014-04-25, 2014-07-30, 2014-10-24, 2015-02-25, 2015-04-24, 2015-07-24, 2015-10-23, 2016-02-23, 2016-04-29, 2016-07-28, 2016-10-27, 2017-02-22, 2017-04-28, 2017-07-27, 2017-10-26, 2018-03-01, 2018-04-26, 2018-07-24, 2018-10-26, 2019-02-27, 2019-04-24, 2019-07-26, 2019-10-31, 2020-02-25, 2020-04-24, 2021-02-24, 2021-04-30, 2021-10-28, 2022-02-25, 2022-04-27, 2022-07-27, 2022-10-26"
FLGT,"2016-11-04, 2017-08-07, 2017-11-07, 2018-03-01, 2018-05-08, 2018-08-06, 2018-11-11, 2019-03-02, 2019-05-11, 2019-08-06, 2019-11-05, 2020-03-11, 2020-05-05, 2021-03-04, 2021-05-06, 2021-08-09, 2021-11-09, 2022-02-23, 2022-05-03, 2022-08-04, 2022-11-07"
CHE,"2009-02-17, 2013-02-19, 2013-04-19, 2013-07-19, 2013-10-29, 2014-02-18, 2014-04-30, 2014-07-24, 2014-11-01, 2015-02-18, 2015-04-29, 2015-07-24, 2015-10-23, 2016-02-18, 2016-04-29, 2016-07-26, 2016-10-27, 2017-02-16, 2017-04-27, 2017-07-26, 2017-10-27, 2018-02-16, 2018-04-20, 2018-07-26, 2018-10-30, 2019-02-21, 2019-04-30, 2019-07-26, 2019-11-02, 2020-02-19, 2020-04-30, 2021-04-28, 2022-02-25"
AGL,"2022-05-07, 2022-08-05, 2022-11-05"
TMDX,"2019-08-10, 2020-03-03, 2020-05-09, 2021-03-02, 2021-05-04, 2021-11-09, 2022-02-23, 2022-05-03, 2022-08-01, 2022-11-05"
MDRX,"2008-02-14, 2008-05-01, 2008-08-06, 2009-01-09, 2009-04-03, 2009-07-21, 2009-09-30, 2010-01-12, 2010-11-09, 2011-02-16, 2011-05-06, 2011-11-04, 2012-02-17, 2012-08-09, 2012-11-09, 2013-02-20, 2013-05-10, 2013-08-09, 2013-11-08, 2014-02-21, 2014-05-09, 2014-08-08, 2014-11-07, 2015-02-27, 2015-05-08, 2015-08-05, 2015-11-06, 2016-02-19, 2016-05-06, 2016-08-05, 2016-11-04, 2017-02-17, 2017-05-05, 2017-08-04, 2017-11-03, 2018-02-16, 2018-05-04, 2018-08-03, 2018-11-02, 2019-02-22, 2019-05-03, 2019-08-09, 2019-11-05, 2020-03-03, 2020-08-02, 2021-02-25, 2021-04-29, 2022-08-07, 2022-11-05"
ME,"2021-08-13, 2022-02-10, 2022-05-26, 2022-08-08, 2022-11-07"
CNMD,"2010-07-31, 2010-10-29, 2013-02-14, 2013-04-25, 2013-07-25, 2013-10-24, 2014-02-13, 2014-04-24, 2014-07-23, 2014-10-24, 2015-01-28, 2015-04-23, 2015-07-22, 2015-10-22, 2016-01-28, 2016-04-28, 2016-07-28, 2016-10-28, 2017-02-02, 2017-04-27, 2017-07-26, 2017-11-05, 2018-02-01, 2018-04-25, 2018-08-01, 2018-11-03, 2019-01-23, 2019-04-25, 2019-08-01, 2019-10-31, 2020-01-30, 2020-07-30, 2021-01-27, 2021-04-28, 2021-07-28, 2022-05-07, 2022-07-27, 2022-10-26"
CERT,"2021-03-04, 2021-05-08, 2021-08-07, 2021-11-09, 2022-03-01, 2022-05-07, 2022-08-09, 2022-11-07"
NXGN,"2007-08-07, 2008-02-06, 2009-01-30, 2012-07-26, 2012-10-26, 2013-01-24, 2013-05-23, 2013-07-25, 2013-10-24, 2014-01-24, 2014-05-29, 2014-07-24, 2014-10-23, 2015-01-22, 2015-05-21, 2015-07-24, 2015-10-23, 2016-01-29, 2016-05-20, 2016-07-31, 2016-10-27, 2017-01-26, 2017-05-19, 2017-08-01, 2017-10-28, 2018-01-26, 2018-05-25, 2018-08-01, 2018-10-31, 2019-01-24, 2019-05-29, 2019-10-24, 2020-08-02, 2021-01-27, 2021-10-28, 2022-01-25, 2022-05-17, 2022-07-26"
CERS,"2012-08-03, 2012-11-08, 2013-03-01, 2013-05-01, 2013-07-30, 2013-10-29, 2014-02-26, 2014-05-02, 2014-08-01, 2014-11-05, 2015-02-27, 2015-05-06, 2015-08-07, 2015-11-06, 2016-03-10, 2016-05-03, 2016-08-05, 2016-11-04, 2017-03-08, 2017-05-03, 2017-08-06, 2017-11-03, 2018-03-09, 2018-05-08, 2018-08-03, 2018-11-01, 2019-02-27, 2019-05-08, 2019-08-02, 2019-10-31, 2020-02-21, 2020-05-06, 2021-02-25, 2021-08-03, 2021-11-02, 2022-02-22, 2022-05-05, 2022-08-04, 2022-11-03"
ACHC,"2013-05-02, 2013-07-31, 2013-10-30, 2014-02-20, 2014-04-30, 2014-07-30, 2014-10-30, 2015-02-12, 2015-05-02, 2015-08-05, 2015-11-04, 2016-02-17, 2016-04-29, 2016-07-29, 2016-11-02, 2017-02-24, 2017-04-26, 2017-07-28, 2017-10-25, 2018-02-22, 2018-05-02, 2018-07-31, 2018-11-06, 2019-03-01, 2019-05-01, 2019-07-31, 2019-11-06, 2020-02-28, 2020-05-05, 2021-02-26, 2022-07-30"
CRVL,"2008-02-19, 2008-08-05, 2008-11-04, 2009-02-03, 2010-08-03, 2013-05-30, 2013-07-30, 2013-10-29, 2015-08-04, 2015-11-03, 2016-02-02, 2016-06-02, 2016-08-02, 2016-11-01, 2017-01-31, 2017-06-01, 2017-08-01, 2017-11-01, 2018-10-31, 2019-02-05, 2019-05-30, 2019-11-09, 2020-08-08"
MD,"2011-08-02, 2011-11-01, 2012-02-02, 2012-05-03, 2012-07-31, 2012-11-01, 2013-01-31, 2013-05-02, 2013-07-30, 2013-10-31, 2014-01-30, 2014-05-01, 2014-07-31, 2014-10-30, 2015-01-29, 2015-05-03, 2015-08-01, 2015-10-29, 2016-02-04, 2016-04-28, 2016-07-31, 2016-10-30, 2017-02-07, 2017-05-07, 2017-07-28, 2017-11-01, 2018-02-08, 2018-05-07, 2018-08-02, 2018-11-01, 2019-02-07, 2019-05-03, 2019-08-04, 2019-11-01, 2020-02-20, 2020-05-10, 2021-02-18, 2022-04-30, 2022-08-07, 2022-11-06"
NEOG,"2008-01-03, 2008-03-25, 2008-10-14, 2009-01-06, 2009-07-21, 2009-09-24, 2009-12-18, 2010-03-29, 2010-07-20, 2010-09-23, 2011-01-05, 2011-03-22, 2011-07-27, 2011-09-27, 2011-12-22, 2012-03-27, 2012-07-24, 2012-09-25, 2012-12-20, 2013-03-26, 2013-07-23, 2013-09-24, 2013-12-19, 2014-07-22, 2014-12-18, 2015-03-26, 2015-07-21, 2015-09-21, 2015-12-21, 2016-03-23, 2016-07-19, 2016-09-27, 2016-12-21, 2017-03-21, 2017-07-19, 2017-09-19, 2018-01-03, 2018-03-22, 2018-07-17, 2018-09-26, 2018-12-21, 2019-03-26, 2019-07-23, 2019-09-24, 2019-12-23, 2020-03-24, 2020-07-21, 2020-09-22, 2022-09-27"
SDGR,"2020-05-13, 2021-11-10, 2022-02-24, 2022-05-04, 2022-08-04, 2022-11-03"
NUVA,"2009-10-21, 2012-07-26, 2012-10-24, 2013-02-27, 2013-05-01, 2013-07-31, 2013-10-30, 2014-03-04, 2014-04-30, 2014-07-30, 2014-10-31, 2015-02-25, 2015-05-05, 2015-07-29, 2015-10-28, 2016-02-12, 2016-04-27, 2016-07-27, 2016-10-26, 2017-02-10, 2017-04-26, 2017-07-30, 2017-10-25, 2018-02-27, 2018-05-02, 2018-08-01, 2018-10-31, 2019-02-21, 2019-05-02, 2019-07-31, 2019-10-31, 2020-02-21, 2020-05-07, 2021-02-25, 2021-05-05, 2021-07-28, 2021-11-09, 2022-02-23, 2022-05-04, 2022-08-03, 2022-11-09"
VREX,"2017-05-07, 2017-08-04, 2017-11-10, 2018-02-02, 2018-05-04, 2018-08-04, 2018-11-14, 2019-02-06, 2019-05-08, 2019-08-07, 2019-11-13, 2020-02-12, 2020-05-13, 2020-08-13, 2020-11-17, 2021-08-03, 2021-11-16, 2022-02-08, 2022-05-08, 2022-08-02"
ESTA,"2019-03-21, 2019-05-15, 2019-08-13, 2019-11-12, 2020-03-16, 2020-05-10, 2021-05-09, 2021-07-30, 2022-05-09, 2022-08-08, 2022-11-07"
ITGR,"2009-03-04, 2009-05-08, 2013-02-26, 2013-04-26, 2013-07-26, 2013-10-25, 2014-02-25, 2014-05-01, 2014-08-01, 2014-10-31, 2015-02-25, 2015-05-01, 2015-07-31, 2015-10-30, 2016-03-01, 2016-04-29, 2016-10-28, 2017-05-09, 2017-07-28, 2017-10-27, 2018-02-23, 2018-05-04, 2018-08-05, 2018-11-04, 2019-02-22, 2019-05-05, 2019-08-03, 2019-11-02, 2020-02-21, 2020-05-10, 2021-02-18, 2021-07-30, 2021-10-29, 2022-04-30, 2022-10-28"
CLOV,"2021-03-01, 2021-08-11, 2021-11-08, 2022-02-23, 2022-05-09, 2022-08-08, 2022-11-07"
NVCR,"2016-05-10, 2016-07-28, 2016-11-02, 2017-02-23, 2017-04-30, 2017-07-31, 2017-10-26, 2018-02-22, 2018-04-26, 2018-07-26, 2018-10-25, 2019-02-28, 2019-05-02, 2019-07-25, 2019-11-01, 2020-02-27, 2020-04-30"
AVNS,"2015-08-04, 2015-11-03, 2016-02-29, 2016-05-04, 2016-08-03, 2016-11-02, 2017-02-27, 2017-05-02, 2017-08-02, 2017-11-01, 2018-02-27, 2018-05-02, 2018-08-07, 2018-11-07, 2019-02-26, 2019-05-08, 2019-08-07, 2019-11-05, 2020-02-25, 2020-05-09, 2021-08-03, 2022-05-07, 2022-08-12, 2022-11-04"
ADUS,"2013-03-13, 2013-05-04, 2013-08-02, 2013-11-08, 2014-03-13, 2014-05-02, 2014-08-01, 2014-10-31, 2015-03-05, 2015-05-03, 2015-08-04, 2015-11-03, 2016-03-10, 2016-05-03, 2016-08-02, 2016-11-08, 2017-03-07, 2017-05-13, 2017-08-08, 2017-11-07, 2018-03-06, 2018-05-13, 2018-08-11, 2018-11-11, 2019-03-05, 2019-05-07, 2019-11-05, 2020-05-06, 2021-02-26, 2021-05-08"
TNDM,"2014-11-09, 2015-02-25, 2015-05-01, 2015-08-03, 2015-10-29, 2016-02-25, 2016-04-29, 2016-07-29, 2016-11-02, 2017-03-09, 2017-04-28, 2017-07-28, 2017-10-28, 2018-03-02, 2018-04-27, 2018-07-31, 2018-11-02, 2019-02-27, 2019-05-01, 2019-08-02, 2019-11-05, 2020-02-25, 2020-07-31, 2021-02-24, 2021-11-03, 2022-02-22, 2022-05-04, 2022-08-03, 2022-11-02"
AMED,"2009-10-28, 2012-08-07, 2012-11-06, 2013-03-12, 2013-04-30, 2013-07-31, 2013-11-12, 2014-03-12, 2014-05-08, 2014-07-30, 2014-10-29, 2015-03-04, 2015-05-03, 2015-07-29, 2015-11-05, 2016-03-10, 2016-05-08, 2016-08-03, 2016-11-04, 2017-03-01, 2017-05-06, 2017-07-27, 2017-11-11, 2018-03-01, 2018-05-13, 2018-08-01, 2018-10-30, 2019-03-01, 2019-05-02, 2019-08-01, 2019-10-30, 2020-02-20, 2020-05-10, 2021-02-25, 2021-05-01, 2021-11-03, 2022-02-24, 2022-04-28, 2022-07-28, 2022-10-27"
GDRX,"2020-11-12, 2021-08-12, 2021-11-10, 2022-02-28, 2022-05-09, 2022-08-08, 2022-11-08"
KIDS,"2008-09-16, 2018-05-15, 2018-08-12, 2018-11-03, 2019-03-07, 2019-05-13, 2019-08-10, 2019-11-08, 2020-03-05, 2020-05-10, 2021-05-08, 2021-08-07, 2021-11-05, 2022-11-01"
DVA,"2007-11-04, 2008-02-14, 2008-04-30, 2008-08-05, 2008-11-03, 2009-02-12, 2009-04-29, 2009-08-05, 2009-11-04, 2010-02-12, 2010-04-28, 2010-08-03, 2010-11-05, 2011-02-11, 2011-05-04, 2011-08-04, 2011-11-04, 2012-02-17, 2012-05-02, 2012-08-02, 2012-10-31, 2013-02-14, 2013-05-08, 2013-08-07, 2013-11-06, 2014-02-12, 2014-05-02, 2014-08-01, 2015-02-13, 2015-08-05, 2015-11-04, 2016-02-12, 2016-05-05, 2016-08-09, 2016-11-03, 2017-02-17, 2017-05-03, 2017-08-02, 2017-11-08, 2018-02-14, 2018-05-04, 2018-08-02, 2018-11-08, 2019-02-14, 2019-05-08, 2019-08-02, 2019-11-06, 2020-02-11, 2020-05-06, 2021-02-11, 2021-04-29, 2021-08-03, 2021-10-28, 2022-02-10, 2022-05-05, 2022-08-01"
HSTM,"2008-07-23, 2012-07-24, 2012-10-23, 2013-02-27, 2013-04-23, 2013-07-23, 2013-10-22, 2014-02-19, 2014-04-22, 2014-07-22, 2014-10-21, 2015-02-19, 2015-04-21, 2015-07-21, 2015-10-20, 2016-02-17, 2016-04-26, 2016-07-26, 2016-11-03, 2017-02-22, 2017-04-25, 2017-07-25, 2017-10-24, 2018-02-21, 2018-05-01, 2018-07-24, 2018-10-24, 2019-02-20, 2019-04-23, 2019-07-23, 2019-10-22, 2020-02-20, 2020-04-28, 2021-10-26"
ANGO,"2007-10-02, 2008-01-04, 2008-04-08, 2008-07-28, 2008-10-03, 2009-01-07, 2009-04-03, 2009-07-17, 2009-10-06, 2010-01-06, 2010-04-01, 2010-07-16, 2010-10-08, 2011-01-05, 2011-04-06, 2011-07-15, 2011-10-07, 2012-01-06, 2012-04-05, 2012-07-13, 2012-10-09, 2013-01-04, 2013-04-09, 2013-07-11, 2013-10-10, 2014-01-10, 2014-04-10, 2014-07-24, 2014-10-10, 2015-01-09, 2015-04-10, 2015-07-17, 2015-10-09, 2016-01-08, 2016-04-08, 2016-07-13, 2016-10-05, 2017-01-06, 2017-03-30, 2017-07-18, 2017-09-28, 2018-07-11, 2018-09-28, 2019-01-04, 2019-04-02, 2019-07-10, 2019-10-03, 2020-01-07, 2020-04-07, 2020-07-16, 2020-09-29"
INMD,"2012-05-03, 2019-11-08, 2020-08-05"
IART,"2008-11-10, 2009-03-02, 2013-02-21, 2013-05-02, 2013-08-01, 2013-10-29, 2014-02-25, 2014-05-03, 2014-08-05, 2014-11-04, 2015-02-24, 2015-05-02, 2015-08-01, 2015-11-03, 2016-02-26, 2016-04-27, 2016-07-28, 2016-10-28, 2017-02-23, 2017-04-26, 2017-07-26, 2017-10-26, 2018-02-27, 2018-04-25, 2018-07-25, 2018-10-31, 2019-02-21, 2019-04-24, 2019-07-24, 2019-10-25, 2020-02-19, 2020-08-11, 2021-02-18, 2021-04-28"
INNV,"2021-05-10, 2021-09-21, 2022-02-09, 2022-05-14, 2022-09-13, 2022-11-11"
XRAY,"2007-11-02, 2008-02-06, 2008-05-02, 2008-07-30, 2008-10-29, 2009-02-05, 2009-05-01, 2009-07-30, 2009-10-29, 2010-02-11, 2010-04-29, 2010-07-29, 2010-10-28, 2011-02-09, 2011-04-28, 2011-07-28, 2011-10-27, 2012-02-16, 2012-05-01, 2012-07-31, 2012-10-25, 2013-02-20, 2013-05-09, 2013-08-01, 2013-10-29, 2014-02-18, 2014-05-06, 2014-08-01, 2014-10-29, 2015-02-18, 2015-05-09, 2015-07-30, 2015-10-28, 2016-02-12, 2016-05-06, 2016-08-05, 2016-11-04, 2017-02-17, 2017-05-09, 2017-08-09, 2017-11-03, 2018-03-02, 2018-05-07, 2018-08-07, 2018-11-09, 2019-03-01, 2019-05-03, 2019-08-02, 2019-11-07, 2020-03-02, 2020-05-08, 2021-05-08"
AMWL,"2020-11-12, 2021-03-24, 2021-05-12, 2021-08-11, 2021-11-10, 2022-02-24, 2022-05-09, 2022-08-04, 2022-11-07"
NVRO,"2015-08-09, 2015-11-10, 2016-03-01, 2016-05-09, 2016-08-09, 2016-11-08, 2017-02-24, 2017-05-09, 2017-08-08, 2017-11-07, 2018-02-23, 2018-05-08, 2018-08-04, 2018-11-06, 2019-02-22, 2019-05-10, 2019-08-10, 2019-11-07, 2020-02-26, 2020-05-06, 2021-02-24, 2021-08-04, 2021-11-08, 2022-02-23, 2022-08-06, 2022-11-02"
GO,"2019-08-14, 2019-11-12, 2020-03-25, 2020-05-12, 2021-03-02, 2021-05-11, 2021-08-10, 2021-11-09, 2022-03-01, 2022-05-10, 2022-08-09, 2022-11-08"
BJ,"2018-11-21, 2019-03-06, 2019-05-23, 2019-08-22, 2019-11-21, 2020-03-05, 2020-05-21, 2020-08-20"
CHEF,"2013-05-03, 2013-08-02, 2013-11-01, 2014-03-05, 2014-05-02, 2014-08-01, 2014-11-06, 2015-03-06, 2015-05-07, 2015-08-03, 2015-11-04, 2016-02-19, 2016-05-04, 2016-08-03, 2016-11-03, 2017-02-22, 2017-05-10, 2017-08-10, 2017-11-09, 2018-02-21, 2018-05-10, 2018-08-01, 2018-11-03, 2019-02-14, 2019-05-05, 2019-08-03, 2019-11-03, 2020-02-13, 2020-07-29"
SFM,"2013-11-10, 2014-02-28, 2014-05-08, 2014-08-08, 2014-11-09, 2015-02-26, 2015-05-08, 2015-08-07, 2015-11-08, 2016-02-26, 2016-05-05, 2016-08-04, 2016-11-03, 2017-02-23, 2017-05-04, 2017-08-03, 2017-11-02, 2018-02-22, 2018-05-03, 2018-08-02, 2018-11-01, 2019-02-21, 2019-05-02, 2019-08-01, 2019-10-31, 2020-02-21, 2020-05-06, 2021-02-25, 2021-05-06, 2021-11-04, 2022-02-24, 2022-05-04, 2022-11-08"
PFGC,"2008-02-27, 2016-02-03, 2016-05-04, 2016-08-17, 2016-11-09, 2017-02-08, 2017-11-12, 2018-02-07, 2018-05-12, 2018-08-15, 2018-11-11, 2019-02-06, 2019-05-10, 2019-08-14, 2019-11-08, 2020-02-05, 2020-05-04, 2021-05-08"
ANDE,"2008-11-20, 2009-02-06, 2009-05-07, 2012-08-03, 2012-11-06, 2013-02-07, 2013-05-08, 2013-08-07, 2013-11-07, 2014-05-09, 2014-11-07, 2015-02-11, 2015-05-06, 2015-08-06, 2015-11-05, 2016-02-11, 2016-05-07, 2016-08-07, 2016-11-08, 2017-02-17, 2017-05-07, 2017-08-04, 2018-02-17, 2018-08-13, 2018-11-10, 2019-02-14, 2019-05-08, 2019-08-07, 2019-11-06, 2020-02-13, 2020-05-07, 2021-02-17, 2021-05-08, 2021-08-04, 2021-11-03, 2022-02-16, 2022-08-03, 2022-11-02"
NGVC,"2013-05-10, 2013-08-07, 2013-11-22, 2014-01-31, 2014-05-01, 2014-08-01, 2014-11-21, 2015-01-30, 2015-05-08, 2015-07-31, 2015-11-20, 2016-01-29, 2016-05-06, 2016-07-29, 2016-11-18, 2017-02-03, 2017-05-05, 2017-08-06, 2017-11-17, 2018-02-02, 2018-05-05, 2018-08-02, 2018-11-16, 2019-02-08, 2019-05-05, 2019-08-04, 2019-11-15, 2020-02-06, 2020-05-09, 2020-08-07, 2020-11-19, 2021-02-04, 2021-11-18, 2022-02-03, 2022-05-08, 2022-08-06"
UNFI,"2013-02-26, 2013-05-28, 2013-09-13, 2013-12-04, 2014-03-11, 2014-06-11, 2014-09-18, 2014-12-04, 2015-03-10, 2015-06-09, 2015-09-16, 2015-12-08, 2016-03-08, 2016-06-07, 2016-09-13, 2016-12-08, 2017-03-09, 2017-06-07, 2017-09-14, 2017-12-08, 2018-03-09, 2018-06-07, 2018-09-21, 2018-12-07, 2019-03-06, 2019-06-06, 2019-10-02, 2019-12-11, 2020-03-11, 2020-06-10, 2020-09-29"
PSMT,"2012-10-31, 2013-01-10, 2013-04-10, 2013-07-11, 2013-11-01, 2014-01-11, 2014-04-10, 2014-07-11, 2014-10-29, 2015-01-09, 2015-04-10, 2015-07-10, 2015-10-30, 2016-01-08, 2016-10-28, 2017-01-06, 2017-04-07, 2017-07-07, 2017-10-28, 2018-01-05, 2018-04-06, 2018-07-06, 2018-10-26, 2019-01-10, 2019-04-10, 2019-07-11, 2019-10-30, 2020-01-10, 2020-04-09, 2022-01-07, 2022-04-08, 2022-11-01"
SPTN,"2010-02-04, 2013-05-23, 2013-08-01, 2014-08-14, 2014-11-06, 2015-03-04, 2015-05-28, 2015-08-20, 2015-11-12, 2016-02-25, 2016-05-26, 2016-08-18, 2016-11-10, 2017-02-23, 2017-05-25, 2017-08-17, 2017-11-09, 2018-02-22, 2018-06-01, 2018-08-16, 2018-11-11, 2019-02-25, 2019-05-20, 2019-08-15, 2019-11-10, 2020-02-20, 2020-05-28, 2021-02-26, 2022-02-24"
USFD,"2017-02-15, 2017-05-13, 2017-08-11, 2017-11-11, 2018-02-15, 2018-05-13, 2018-07-30, 2018-11-08, 2019-02-12, 2019-05-08, 2019-08-06, 2019-11-05, 2020-02-11, 2020-05-05, 2022-02-17, 2022-08-11, 2022-11-10"
LAND,"2013-03-28, 2014-02-25, 2014-05-06, 2014-08-05, 2014-10-28, 2015-02-25, 2015-05-18, 2015-08-05, 2015-11-04, 2016-02-24, 2016-05-03, 2016-08-04, 2016-11-15, 2017-02-22, 2017-05-11, 2017-08-11, 2017-11-08, 2018-02-21, 2018-05-09, 2018-08-09, 2018-11-09, 2019-02-27, 2019-05-08, 2019-08-08, 2019-11-07, 2020-02-20, 2020-05-07"
PCH,"2008-04-29, 2008-07-26, 2008-10-24, 2010-10-30, 2012-07-24, 2012-10-22, 2013-01-29, 2013-04-23, 2013-07-24, 2013-10-22, 2014-01-28, 2014-04-22, 2014-07-23, 2014-10-21, 2015-01-28, 2015-04-22, 2015-07-28, 2015-10-27, 2016-01-26, 2016-04-27, 2016-07-26, 2016-10-21, 2017-01-31, 2017-04-30, 2017-07-25, 2017-10-24, 2018-01-30, 2018-05-05, 2018-07-31, 2018-10-29, 2019-02-05, 2019-04-30, 2019-07-30, 2019-10-29, 2020-02-04, 2020-04-28, 2021-07-27, 2021-10-26, 2022-02-01, 2022-04-26"
SAFE,"2018-04-29, 2018-07-29, 2018-10-26, 2019-02-14, 2019-04-25, 2019-07-26, 2019-10-24, 2020-02-13, 2020-04-23, 2020-07-23, 2020-10-22, 2021-02-11, 2021-07-22, 2022-02-15"
BRT,"2019-11-11, 2021-05-07"
